Frame,Time (s),Red,Green,Blue,Greyscale
234,0.468,15.61364841,9.892791748,4.426066399,10.9757576
235,0.47,15.58981323,9.870247841,4.428293228,10.95573425
236,0.472,15.57470131,9.849496841,4.401564598,10.93577957
237,0.474,15.56389999,9.832304001,4.386518478,10.92115307
238,0.476,15.54246616,9.805892944,4.375118256,10.89787006
239,0.478,15.51243591,9.787246704,4.377264023,10.87778664
240,0.48,15.51092434,9.777518272,4.412940979,10.87600517
241,0.482,15.50883961,9.783939362,4.455591202,10.88407993
242,0.484,15.51216888,9.78601265,4.471640587,10.88818836
243,0.486,15.50687027,9.779001236,4.482201576,10.88375187
244,0.488,15.49185848,9.778759956,4.498832703,10.88101101
245,0.49,15.46694565,9.777873039,4.507868767,10.8737421
246,0.492,15.42848778,9.754477501,4.48193264,10.84545517
247,0.494,15.41690063,9.755973816,4.466869354,10.84161282
248,0.496,15.39144897,9.751941681,4.432892799,10.82775593
249,0.498,15.36579323,9.736371994,4.403558731,10.80745125
250,0.5,15.34141731,9.705069542,4.375787735,10.77846909
251,0.502,15.31707954,9.676029205,4.354860306,10.7518959
252,0.504,15.29219246,9.640780449,4.345775604,10.72274208
253,0.506,15.2604351,9.614907265,4.345286369,10.69774818
254,0.508,15.23201847,9.588227272,4.35283947,10.67465496
255,0.51,15.1857357,9.549038887,4.356383324,10.63803673
256,0.512,15.14868832,9.500772476,4.360625267,10.59922504
257,0.514,15.08670139,9.440032005,4.364567757,10.54531193
258,0.516,15.03861904,9.37686348,4.377274513,10.4955368
259,0.518,14.97218609,9.316303253,4.372915268,10.4394331
260,0.52,14.89325905,9.22705555,4.350687027,10.36074638
261,0.522,14.82587242,9.142002106,4.355503082,10.29145145
262,0.524,14.72067547,9.059304237,4.349431038,10.21082783
263,0.526,14.64303493,8.974393845,4.352333069,10.13791275
264,0.528,14.53813744,8.894721031,4.356858253,10.06042385
265,0.53,14.42961788,8.805744171,4.353620529,9.975315094
266,0.532,14.30649471,8.737721443,4.354847908,9.898905754
267,0.534,14.15960217,8.670586586,4.338558197,9.813123703
268,0.536,14.03515148,8.623291969,4.342201233,9.74916935
269,0.538,13.93210506,8.595192909,4.34568119,9.702383041
270,0.54,13.84470844,8.571347237,4.361065865,9.663805008
271,0.542,13.78570843,8.548038483,4.373298645,9.633810997
272,0.544,13.7246418,8.521643639,4.396574974,9.602707863
273,0.546,13.69551754,8.503536224,4.414815903,9.585399628
274,0.548,13.65607357,8.490073204,4.409686089,9.564870834
275,0.55,13.65266323,8.501761436,4.427495003,9.572921753
276,0.552,13.62927437,8.490516663,4.435889244,9.560381889
277,0.554,13.61350727,8.469711304,4.431681633,9.543021202
278,0.556,13.59303665,8.451444626,4.4149189,9.52426815
279,0.558,13.57913685,8.425844193,4.403893471,9.503726959
280,0.56,13.565835,8.395070076,4.398356438,9.481314659
281,0.562,13.55837917,8.353084564,4.386214256,9.452701569
282,0.564,13.56527996,8.342952728,4.404521942,9.451108932
283,0.566,13.55322266,8.321505547,4.403973579,9.434823036
284,0.568,13.53428268,8.311386108,4.414064407,9.424127579
285,0.57,13.51033497,8.311149597,4.416167259,9.417339325
286,0.572,13.49109173,8.325833321,4.417438507,9.420151711
287,0.574,13.48357201,8.335162163,4.41245842,9.423197746
288,0.576,13.4537859,8.339883804,4.407552719,9.416249275
289,0.578,13.4510231,8.35529232,4.438024521,9.427980423
290,0.58,13.4430418,8.359862328,4.445098877,9.429149628
291,0.582,13.44164944,8.372577667,4.463040352,9.438419342
292,0.584,13.42884922,8.376093864,4.479092598,9.438475609
293,0.586,13.40593433,8.377720833,4.492837906,9.433714867
294,0.588,13.41272449,8.391910553,4.500905991,9.445225716
295,0.59,13.39712334,8.400537491,4.483291626,9.443587303
296,0.592,13.40241432,8.414179802,4.489293098,9.45388031
297,0.594,13.38838291,8.417121887,4.478886604,9.450489998
298,0.596,13.40053463,8.412049294,4.465553284,9.449337006
299,0.598,13.41654205,8.413879395,4.453686714,9.453993797
300,0.6,13.41032124,8.409952164,4.446845055,9.449111938
301,0.602,13.41250896,8.394316673,4.448801994,9.440839767
302,0.604,13.40290451,8.381462097,4.448177338,9.430039406
303,0.606,13.40520763,8.386136055,4.465232849,9.435578346
304,0.608,13.40025902,8.391945839,4.466587067,9.437508583
305,0.61,13.40721035,8.38305378,4.465088844,9.434416771
306,0.612,13.41501999,8.371718407,4.451446533,9.42863369
307,0.614,13.42223072,8.362646103,4.440509796,9.423898697
308,0.616,13.41921711,8.358715057,4.44237709,9.421010017
309,0.618,13.40945339,8.35755825,4.428262711,9.415643692
310,0.62,13.40728474,8.350343704,4.43261528,9.411462784
311,0.622,13.39541054,8.344273567,4.440469742,9.405305862
312,0.624,13.37958527,8.345142365,4.457915306,9.402996063
313,0.626,13.36725903,8.350907326,4.458729744,9.403043747
314,0.628,13.37699699,8.362996101,4.473270416,9.414596558
315,0.63,13.38939285,8.3698349,4.478395462,9.422760963
